gender,age_group,occupation,Intl_students,degree,fvt_social_media_platform,usage_reason,usage_time,device,interaction,preferred_content,watched_livestream,watched_livestream_frequency,avg_watch_time_livestream,emotional_fullfillment,svp_discovery_method,content_personalization,purchased_product,purchase_frequency,follow_influencers,influencer_inspired_travel ,influencer_inspired_travel _frequency,influencer_travel_trust_score
Female,25-34,Employed,No,Post-graduate,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation, Educational Content",Yes,Once a day,Less than 15 minutes,No,By exploring trending sections,1,No,,Yes,No,,Very unlikely
Prefer to self-describe,65+,Retired,No,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Laptop/Desktop,none,"Comedy and Entertainment, snippets of longer conversations",Yes,less than once a month ,More than 1 hours,Sometimes,"Through platform recommendations, By searching for specific content",3,No,,No,No,,Somewhat unlikely
Prefer not to say,35-44,Self-employed,No,Undergraduate,TikTok,Learning and Education,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Educational Content",Yes,2-3 times a month,15 minutes to 30 minutes,Sometimes,"Through platform recommendations, By searching for specific content",4,No,,Yes,No,,Somewhat unlikely
Female,45-54,Employed,,,YouTube (shorts),Learning and Education,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Educational Content",Yes,Once a month,30 minutes to 1 hour,Sometimes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content",3,No,,No,,,
Female,45-54,Self-employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Daily Vlogs and Lifestyle,Yes,Once a day,15 minutes to 30 minutes,Yes,Through platform recommendations,4,No,,Yes,No,,Neutral
Prefer to self-describe,25-34,Employed,,,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Movies, TV Shows, and Animation",No,,,No,Via social shares by friends or family,0,No,,No,,,
Female,25-34,Self-employed,No,Undergraduate,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Daily Vlogs and Lifestyle, Educational Content",Yes,Once a month,15 minutes to 30 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content, By exploring trending sections",3,No,,Yes,No,,Somewhat unlikely
Female,25-34,Employed,Yes,Post-graduate,Instagram,Learning and Education,Evening 5 pm - 12 am),Smartphone,Watch ,"Educational Content, Technology and Gaming",No,Once a day,Less than 15 minutes,No,"Via social shares by friends or family, By searching for specific content",1,No,Once a month,No,Yes,Once,Very unlikely
Female,35-44,Self-employed,No,,YouTube (shorts),Learning and Education,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",Yes,Once a week,30 minutes to 1 hour,Yes,By searching for specific content,2,No,,No,Yes,2-3 times,Neutral
Female,35-44,Employed,No,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Fashion and Beauty, Movies, TV Shows, and Animation",Yes,2-3 times a week,More than 1 hours,Yes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content, By exploring trending sections",2,Yes,Once a month,Yes,No,,Somewhat likely
Male,35-44,Employed,No,,YouTube (shorts),Learning and Education,Evening 5 pm - 12 am),Smartphone,none,Educational Content,Yes,Once a month,15 minutes to 30 minutes,No,By searching for specific content,1,No,,No,No,,Somewhat unlikely
Female,25-34,Employed,No,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation",No,4 or more times a day,,No,"Through platform recommendations, Via social shares by friends or family",4,No,,Yes,No,,Neutral
